食物名稱,每單位重(g),熱量(kcal),修正熱量(kcal),粗蛋白(g),粗脂肪(g),飽和脂肪(mg),總碳水化合物(g),鈉(mg)
bawan,,136,135,,,,,
beef_noodles,,,125,,,,,
beef_soup,,,50,,,,,
bitter_melon_with_salted_eggs,,,120,,,,,
braised_napa_cabbage,,,75,,,,,
braised_pork_over_rice,,,175,,,,,
brown_sugar_cake,,,250,,,,,
bubble_tea,,,150,,,,,
caozaiguo,,,250,,,,,
chicken_mushroom_soup,,,50,,,,,
chinese_pickled_cucumber,,,50,,,,,
coffin_toast,,264,261,,,,,
cold_noodles,,,250,,,,,
crab_migao,,,280,,,,,
deep-fried_chicken_cutlets,,,380,,,,,
deep_fried_pork_rib_and_radish_soup,,,180,,,,,
dried_shredded_squid,,,250,,,,,
egg_pancake_roll,,,300,,,,,
eight_treasure_shaved_ice,,,200,,,,,
fish_head_casserole,,,250,,,,,
fried-spanish_mackerel_thick_soup,,,200,,,,,
fried_eel_noodles,,,300,,,,,
fried_instant_noodles,,,250,,,,,
fried_rice_noodles,,,210,,,,,
ginger_duck_stew,,,200,,,,,
grilled_corn,,,140,,,,,
grilled_taiwanese_sausage,,,360,,,,,
hakka_stir-fried,,,270,,,,,
hot_sour_soup,,,65,,,,,
hung_rui_chen_sandwich,,,271,,,,,
intestine_and_oyster_vermicelli,,,303,,,,,
iron_egg,,288,288,,,,,
jelly_of_gravey_and_chicken_feet_skin,,,205,,,,,
jerky,,335,335,,,,,
kung-pao_chicken,,,305,,,,,
luwei,,,150,,,,,
mango_shaved_ice,,,155,,,,,
meat_dumpling_in_chili_oil,,,293,,,,,
milkfish_belly_congee,,,90,,,,,
mochi,,329,325,,,,,
mung_bean_smoothie_milk,,,90,,,,,
mutton_fried_noodles,,,275,,,,,
mutton_hot_pot,,,150,,,,,
nabeyaki_egg_noodles,,,200,,,,,
night_market_steak,,,300,,,,,
nougat,,477,470,,,,,
oyster_fritter,,,320,,,,,
oyster_omelet,,192,191,,,,,
papaya_milk,236,42,41,1.7,0.6,0.4,7.7,9
peanut_brittle,13,562,556,47.9,35.3,8.3,43.3,183
pepper_pork_bun,56,344,,8,31,14,59,545
pig_s_blood_soup,,29,,6.3,0.3,,0.5,179
pineapple_cake,24,484,481,4.2,24.4,14.4,62,59
pork_intestines_fire_pot,25,58,,8,2.4,0,1.1,593
potsticker,27,238,235,7.8,11.3,3.6,26.2,314
preserved_egg_tofu,100,112,,9.12,6.81,,3.95,244
rice_dumpling,235,234,,8.2,8.8,3.3,30.7,343
rice_noodles_with_squid,300,62.2,,2.7,1.8,,8.8,278
rice_with_soy-stewed_pork,200,328,,14.03,8.18,,47.38,448
roasted_sweet_potato,100,155,,0.8,0,0,38,66
sailfish_stick,,110,105,16.8,1.3,0.5,7.8,755
salty_fried_chicken_nuggets,20,228,228,15.3,12.9,5.5,12.6,596
sanxia_golden_croissants,39,452,448,7.3,26.1,14.1,47.1,360
saute_spring_onion_with_beef,250,113,,6.2,5.4,1,10.7,516
scallion_pancake,,305,300,8.3,9.3,1.9,46.9,257
scrambled_eggs_with_shrimp,,141,,12.42,8.68,,2.45,132
scrambled_eggs_with_tomatoes,,82,,5.65,4.66,,4.02,243
seafood_congee,225,144.9,,5,4.1,,,
sesame_oil_chicken_soup,420,52.2,,4.5,3.4,0.7,,226.8
shrimp_rice,180,250,,,,,,
sishen_soup,500,58,,3.4,2,0.7,5.5,138
sliced_pork_bun,50,386,,8.8,2.9,0.74,80,53
spicy_duck_blood,450,64.8,,1.8,5.9,1.6,1.5,471.6
steam-fried_bun,116,166,163,4.3,5.4,1.6,25.2,310
steamed_cod_fish_with_crispy_bean,150,180,,,,,,
steamed_taro_cake,,109,107,2.1,1.6,0.5,21.5,242
stewed_pig_s_knuckles,,237,237,28.4,15.4,6.9,,187
stinky_tofu,197,179,,24.6,24.1,,10.1,
stir-fried_calamari_broth,350,97,,9.35,3.3,,7.94,
stir-fried_duck_meat_broth,250,128,,,,,,
stir-fried_loofah_with_clam,350,91,,,,,,
stir-fried_pork_intestine_with_ginger,300,223,,,,,,
stir_fried_clams_with_basil,900,55,,,,,,
sugar_coated_sweet_potato,50,307,,1.1,3.3,0,68.2,25
sun_cake,43,460,459,5.3,20.5,8.4,63.6,3
sweet_and_sour_pork_ribs,320,77.2,,5.8,3.3,,4,339
sweet_potato_ball,75,477,,0.6,26.9,,58.2,26
taiwanese_burrito,23,272,266,5.1,13.9,2.7,31.5,44.9
taiwanese_pork_ball_soup,22,244,244,16.6,20.3,7.4,0,580
taiwanese_sausage_in_rice_bun,160,210,,6,8,4,29,507
tanghulu,,295,,0.51,0.73,,74.42,83
tangyuan,21,352,351,4.8,16.3,6.6,46.7,3
taro_ball,,214,212,0.9,0.2,0.1,52.1,2
three-cup_chicken,250,220.7,,21.1,11.1,2.9,9.1,730
tube-shaped_migao,,246,244,6.6,8.6,3.1,35.5,299
turkey_rice,180,192,,8.2,5.3,,33,
turnip_cake,,111,109,2.2,2.3,0.8,20.4,251
twist_roll,,560,,7.4,33.9,10.7,56.3,3
wheel_pie,92,187,174,2.1,1.1,0.3,42.3,108
xiaolongbao,,242,239,9.6,15.5,5.6,15.9,248
yolk_pastry,54,461,457,11.4,26.4,12,44.5,196
