食物名稱,每單位重(g),熱量(kcal),修正熱量(kcal)
bawan,,136,135
beef_noodles,,,125
beef_soup,,,50
bitter_melon_with_salted_eggs,,,120
braised_napa_cabbage,,,75
braised_pork_over_rice,,,175
brown_sugar_cake,,,250
bubble_tea,,,150
caozaiguo,,,250
chicken_mushroom_soup,,,50
chinese_pickled_cucumber,,,50
coffin_toast,,264,261
cold_noodles,,,250
crab_migao,,,280
deep-fried_chicken_cutlets,,,380
deep_fried_pork_rib_and_radish_soup,,,180
dried_shredded_squid,,,250
egg_pancake_roll,,,300
eight_treasure_shaved_ice,,,200
fish_head_casserole,,,250
fried-spanish_mackerel_thick_soup,,,200
fried_eel_noodles,,,300
fried_instant_noodles,,,250
fried_rice_noodles,,,210
ginger_duck_stew,,,200
grilled_corn,,,140
grilled_taiwanese_sausage,,,360
hakka_stir-fried,,,270
hot_sour_soup,,,65
hung_rui_chen_sandwich,,,271
intestine_and_oyster_vermicelli,,,303
iron_egg,,288,288
jelly_of_gravey_and_chicken_feet_skin,,,205
jerky,,335,335
kung-pao_chicken,,,305
luwei,,,150
mango_shaved_ice,,,155
meat_dumpling_in_chili_oil,,,293
milkfish_belly_congee,,,90
mochi,,329,325
mung_bean_smoothie_milk,,,90
mutton_fried_noodles,,,275
mutton_hot_pot,,,150
nabeyaki_egg_noodles,,,200
night_market_steak,,,300
nougat,,477,470
oyster_fritter,,,320
oyster_omelet,,192,191
papaya_milk,236,42,41
peanut_brittle,13,562,556
pepper_pork_bun,56,344,
pig_s_blood_soup,,29,
pineapple_cake,24,484,481
pork_intestines_fire_pot,25,58,
potsticker,27,238,235
preserved_egg_tofu,100,112,
rice_dumpling,235,234,
rice_noodles_with_squid,300,62.2,
rice_with_soy-stewed_pork,200,328,
roasted_sweet_potato,100,155,
sailfish_stick,,110,105
salty_fried_chicken_nuggets,20,228,228
sanxia_golden_croissants,39,452,448
saute_spring_onion_with_beef,250,113,
scallion_pancake,,305,300
scrambled_eggs_with_shrimp,,141,
scrambled_eggs_with_tomatoes,,82,
seafood_congee,225,144.9,
sesame_oil_chicken_soup,420,52.2,
shrimp_rice,180,250,
sishen_soup,500,58,
sliced_pork_bun,50,386,
spicy_duck_blood,450,64.8,
steam-fried_bun,116,166,163
steamed_cod_fish_with_crispy_bean,150,180,
steamed_taro_cake,,109,107
stewed_pig_s_knuckles,,237,237
stinky_tofu,197,179,
stir-fried_calamari_broth,350,97,
stir-fried_duck_meat_broth,250,128,
stir-fried_loofah_with_clam,350,91,
stir-fried_pork_intestine_with_ginger,300,223,
stir_fried_clams_with_basil,900,55,
sugar_coated_sweet_potato,50,307,
sun_cake,43,460,459
sweet_and_sour_pork_ribs,320,77.2,
sweet_potato_ball,75,477,
taiwanese_burrito,23,272,266
taiwanese_pork_ball_soup,22,244,244
taiwanese_sausage_in_rice_bun,160,210,
tanghulu,,295,
tangyuan,21,352,351
taro_ball,,214,212
three-cup_chicken,250,220.7,
tube-shaped_migao,,246,244
turkey_rice,180,192,
turnip_cake,,111,109
twist_roll,,560,
wheel_pie,92,187,174
xiaolongbao,,242,239
yolk_pastry,54,461,457
